Date : 2022-05-12 19:35:27
Directory : /Users/yanghaozhe/Documents/Python/lumo
Total : 210 files,  9181 codes, 2823 comments, 3034 blanks, all 15038 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        195 |      8,926 |      2,818 |      2,905 |     14,649 |
| Markdown         |          8 |        236 |          0 |        127 |        363 |
| pip requirements |          1 |         13 |          0 |          0 |         13 |
| Shell Script     |          5 |          5 |          5 |          2 |         12 |
| Batch            |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |        210 |      9,181 |      2,823 |      3,034 |     15,038 |
| examples                                                                              |         43 |      1,246 |        362 |        436 |      2,044 |
| examples/benchmark                                                                    |          3 |        404 |         42 |        100 |        546 |
| examples/data                                                                         |          5 |        171 |         14 |         45 |        230 |
| examples/experiment                                                                   |          1 |          6 |          0 |          1 |          7 |
| examples/meter                                                                        |          1 |         14 |          0 |          5 |         19 |
| examples/more                                                                         |         15 |        136 |        103 |         75 |        314 |
| examples/params                                                                       |          3 |         47 |          9 |         20 |         76 |
| examples/trainer                                                                      |          3 |        137 |         27 |         62 |        226 |
| src                                                                                   |        135 |      7,111 |      2,387 |      2,242 |     11,740 |
| src/lumo                                                                              |        135 |      7,111 |      2,387 |      2,242 |     11,740 |
| src/lumo/cli                                                                          |         10 |        137 |         59 |         47 |        243 |
| src/lumo/cli/functional                                                               |          8 |        112 |          0 |         35 |        147 |
| src/lumo/contrib                                                                      |         28 |        863 |        544 |        308 |      1,715 |
| src/lumo/contrib/board                                                                |          2 |         19 |          7 |          9 |         35 |
| src/lumo/contrib/data                                                                 |          5 |        107 |         54 |         35 |        196 |
| src/lumo/contrib/data/augments                                                        |          3 |         41 |         15 |         12 |         68 |
| src/lumo/contrib/module                                                               |          2 |         37 |         24 |         20 |         81 |
| src/lumo/contrib/nn                                                                   |          4 |        162 |        159 |         60 |        381 |
| src/lumo/contrib/optim                                                                |          3 |        128 |         62 |         54 |        244 |
| src/lumo/contrib/string                                                               |          2 |        143 |         27 |         27 |        197 |
| src/lumo/contrib/torch                                                                |          4 |        104 |        148 |         52 |        304 |
| src/lumo/contrib/transforms                                                           |          2 |         14 |          7 |          6 |         27 |
| src/lumo/core                                                                         |         18 |        983 |        229 |        328 |      1,540 |
| src/lumo/core/record_backend                                                          |          6 |         18 |          0 |         10 |         28 |
| src/lumo/data                                                                         |          8 |        570 |        104 |        157 |        831 |
